Employee_ID,Department,Years_of_Experience,Full_Time,Performance_Score,Salary,First_Name,Last_Name,Date_of_Birth,Gender,Education_Level,Location,Remote_Work,Hire_Date,Last_Performance_Review_Date,Project_Count,Bonus,Employee_Satisfaction_Score,Department_Budget,Training_Hours_Last_Year,Number_of_Direct_Reports
1,Finance,1.82,False,Good,56550.0,Michael,Davis,2000-05-11 05:33:39,Other,Master's,"Glasgow, Scotland",True,2022-05-16 07:30:27,2022-10-08 07:30:27,5,0,2.68,75000,46,6
2,IT,2.09,False,Poor,55225.0,Karen,Brown,1984-12-18 14:13:34,Other,High School,"London, England",False,2020-05-03 22:30:19,2020-08-15 22:30:19,6,500,1.99,100000,15,8
3,IT,7.047227926078029,False,Excellent,87600.0,Joseph,Johnson,1991-07-29 11:32:58,Male,Master's,"Belfast, Northern Ireland",True,2017-02-25 23:43:54,2017-07-17 23:43:54,3,2000,2.42,50000,4,3
4,Finance,1.2375085557837098,False,Excellent,53875.0,David,Garcia,1998-01-24 12:21:27,Other,High School,"Belfast, Northern Ireland",True,2022-12-18 10:59:47,2023-04-30 10:59:47,9,500,4.03,125000,34,3
5,Marketing,4.16,True,Average,61400.0,Linda,Martinez,1973-06-05 08:09:32,Other,Bachelor's,"Manchester, England",True,2012-04-04 14:02:58,2013-01-12 14:02:58,5,500,1.06,75000,11,5
6,Finance,2.4750171115674195,True,Excellent,70550.0,Michael,Brown,1973-03-07 10:44:36,Female,Master's,"Glasgow, Scotland",False,2021-09-22 12:23:53,2022-06-05 12:23:53,8,0,1.46,150000,24,2
7,Marketing,10.42,True,Good,82050.0,Charles,Moore,1981-03-26 17:29:10,Male,Bachelor's,"Glasgow, Scotland",False,2011-08-25 03:34:26,2012-01-13 03:34:26,1,1500,1.18,75000,20,5
8,Marketing,6.102669404517454,True,Good,84750.0,David,Lopez,1981-03-25 12:42:58,Female,High School,"Belfast, Northern Ireland",False,2018-02-05 19:31:10,2018-06-13 19:31:10,5,500,1.16,150000,35,6
9,Marketing,10.0,True,Poor,80500.0,David,Johnson,1973-08-09 18:43:34,Female,Ph.D.,"Glasgow, Scotland",False,2012-09-29 19:05:03,2013-03-30 19:05:03,3,1000,4.42,100000,22,9
10,HR,7.479808350444901,False,Average,101350.0,Patricia,Martinez,1967-11-27 08:26:50,Female,Master's,"Cardiff, Wales",True,2016-09-20 00:26:27,2017-05-01 00:26:27,1,1500,3.81,150000,15,9
11,Finance,5.281314168377824,False,Poor,67925.0,Linda,Brown,1973-10-05 10:54:27,Female,High School,"Bristol, England",True,2018-12-02 04:17:44,2019-11-06 04:17:44,4,2000,2.9,125000,38,2
12,IT,5.2265571526351815,True,Average,83650.0,John,Wilson,1979-06-11 22:44:55,Female,Ph.D.,"Edinburgh, Scotland",False,2018-12-22 18:46:56,2019-07-02 18:46:56,5,0,1.39,50000,44,6
13,HR,11.126625598904859,True,Good,105750.0,Mary,Thomas,1988-04-26 08:15:19,Female,Ph.D.,"Newcastle, England",True,2013-01-27 01:28:07,2013-09-21 01:28:07,7,2000,2.97,150000,41,2
14,IT,6.46,True,Excellent,69650.0,Barbara,Anderson,1980-07-14 16:57:38,Female,Bachelor's,"Birmingham, England",True,2011-08-07 08:49:03,2012-02-21 08:49:03,1,1500,2.89,150000,38,1
15,Finance,11.783709787816564,True,Good,91175.0,Jennifer,Davis,1962-10-20 06:15:49,Male,High School,"Manchester, England",True,2012-06-01 10:10:46,2012-12-08 10:10:46,3,1500,1.69,50000,13,9
16,IT,5.798767967145791,True,Average,74000.0,Mary,Wilson,1967-09-05 05:37:56,Other,Ph.D.,"Bristol, England",False,2018-05-27 14:44:33,2018-09-01 14:44:33,2,1500,2.74,125000,30,3
17,IT,2.2614647501711156,False,Poor,63400.0,James,Davis,1990-03-19 14:51:03,Female,Master's,"Belfast, Northern Ireland",False,2021-12-09 02:13:59,2022-10-23 02:13:59,9,2000,2.59,75000,4,7
18,HR,12.48,True,Poor,88200.0,Barbara,Thomas,1988-11-24 10:25:41,Female,Master's,"Newcastle, England",True,2011-09-15 10:03:44,2012-07-17 10:03:44,6,1500,3.46,150000,34,8
19,HR,3.77,True,Excellent,60425.0,Barbara,Gonzalez,1960-02-08 17:06:09,Female,Bachelor's,"Glasgow, Scotland",False,2016-11-24 19:39:54,2017-10-23 19:39:54,3,2000,3.54,50000,22,6
20,HR,1.8069815195071868,True,Excellent,65150.0,Thomas,Moore,1984-09-29 13:38:07,Female,Ph.D.,"Birmingham, England",False,2022-05-24 22:23:23,2022-11-04 22:23:23,8,1500,1.18,100000,28,0
21,IT,2.757015742642026,False,Average,89775.0,Elizabeth,Anderson,1984-12-17 02:06:12,Female,High School,"Glasgow, Scotland",False,2021-06-11 05:20:49,2022-01-21 05:20:49,8,1000,2.5,50000,42,2
